beer_beerid,beer_style,styles,beer_name
19905,13,American IPA,Indian Pale Ale
19922,13,American IPA,Northern Lights IPA
20002,13,American IPA,Hop Garden IPA
20006,13,American IPA,Barley's Rye IPA
20018,13,American IPA,Key West Golden Ale
20044,13,American IPA,Gnarl Ridge IPA
20049,13,American IPA,Ice Axe India Pale Ale
20133,13,American IPA,Super Hop
20166,13,American IPA,Umpteen IPA
20168,13,American IPA,Hoptical Illusion
20335,13,American IPA,Opa Opa IPA
20374,13,American IPA,Hop Heaven 2005  (JLS Release #8)
20389,13,American IPA,Thomas Hooker Hop Meadow IPA
20400,13,American IPA,Awry IPA Two Tier Beer
20473,13,American IPA,Cascade IPA
20474,13,American IPA,Harvest Ale
20478,13,American IPA,Founders Harvest Ale
20490,13,American IPA,Hoppy Days
20508,13,American IPA,The Ripple
20510,13,American IPA,Transit Of Venus Sunrise Ale
20666,13,American IPA,Hop Dragon
20682,13,American IPA,Willimantic Sterling Nugget IPA
20721,13,American IPA,India Pale Ale
20739,13,American IPA,Three Sheets
20791,13,American IPA,FestivAle 04 - 05
20876,13,American IPA,Hoptopia
20952,13,American IPA,Big Hop IPA
20969,13,American IPA,Superfly I.P.A.
20973,13,American IPA,Old Town IPA
21324,13,American IPA,Hop Hog India Pale Ale
21328,13,American IPA,Edgar IPA
21385,13,American IPA,St. James IPA
21491,13,American IPA,Desolation IPA
21685,13,American IPA,Bloody Third IPA
21786,13,American IPA,Willimantic Valentines Mail India Dark Ale
21819,13,American IPA,Old Capitol Brew Works Firkin IPA
21865,13,American IPA,W'05 India Pale Ale
21898,13,American IPA,Big Red IPA
21903,13,American IPA,Silver Peak IPA
22111,13,American IPA,Amarillo Armadillo
22135,13,American IPA,Red Light IPA
22189,13,American IPA,Bengali Tiger
22289,13,American IPA,Green IPA
22336,13,American IPA,India Pale Ale
22385,13,American IPA,Little Yeoman IPA
22407,13,American IPA,Heavy Handed Hops
22505,13,American IPA,Green Flash West Coast I.P.A.
